Date,Score,Home_team,Away_team,Home_goals,Away_goals
19 Nov 2019,5-0,Netherlands,Estonia,5,0
04 Sep 2020,1-0,Netherlands,Poland,1,0
07 Sep 2020,0-1,Netherlands,Italy,0,1
07 Oct 2020,0-1,Netherlands,Mexico,0,1
11 Oct 2020,0-0,Bosnia and Herzegovina,Netherlands,0,0
11 Nov 2020,1-1,Netherlands,Spain,1,1
15 Nov 2020,3-1,Netherlands,Bosnia and Herzegovina,3,1
18 Nov 2020,1-2,Poland,Netherlands,1,2
24 Mar 2021,4-2,Turkey,Netherlands,4,2
27 Mar 2021,2-0,Netherlands,Latvia,2,0
30 Mar 2021,0-7,Gibraltar,Netherlands,0,7
06 Sep 2018,2-0,Austria,Sweden,2,0
11 Sep 2018,1-0,Bosnia and Herzegovina,Austria,1,0
12 Oct 2018,1-0,Austria,Northern Ireland,1,0
16 Oct 2018,2-0,Denmark,Austria,2,0
15 Nov 2018,0-0,Austria,Bosnia and Herzegovina,0,0
18 Nov 2018,1-2,Northern Ireland,Austria,1,2
21 Mar 2019,0-1,Austria,Poland,0,1
24 Mar 2019,4-2,Israel,Austria,4,2
07 Jun 2019,1-0,Austria,Slovenia,1,0
10 Jun 2019,1-4,North Macedonia,Austria,1,4
06 Sep 2019,6-0,Austria,Latvia,6,0
09 Sep 2019,0-0,Poland,Austria,0,0
10 Oct 2019,3-1,Austria,Israel,3,1
13 Oct 2019,0-1,Slovenia,Austria,0,1
16 Nov 2019,2-1,Austria,North Macedonia,2,1
19 Nov 2019,1-0,Latvia,Austria,1,0
04 Sep 2020,1-2,Norway,Austria,1,2
07 Sep 2020,2-3,Austria,Romania,2,3
07 Oct 2020,2-1,Austria,Greece,2,1
11 Oct 2020,0-1,Northern Ireland,Austria,0,1
14 Oct 2020,0-1,Romania,Austria,0,1
11 Nov 2020,0-3,Luxembourg,Austria,0,3
15 Nov 2020,2-1,Austria,Northern Ireland,2,1
18 Nov 2020,1-1,Austria,Norway,1,1
25 Mar 2021,2-2,Scotland,Austria,2,2
28 Mar 2021,3-1,Austria,Faroe Islands,3,1
31 Mar 2021,0-4,Austria,Denmark,0,4
06 Sep 2018,1-2,Czech Republic,Ukraine,1,2
09 Sep 2018,1-0,Ukraine,Slovakia,1,0
16 Oct 2018,1-0,Ukraine,Czech Republic,1,0
16 Nov 2018,4-1,Slovakia,Ukraine,4,1
22 Mar 2019,0-0,Portugal,Ukraine,0,0
25 Mar 2019,1-2,Luxembourg,Ukraine,1,2
07 Jun 2019,5-0,Ukraine,Serbia,5,0
10 Jun 2019,1-0,Ukraine,Luxembourg,1,0
07 Sep 2019,0-3,Lithuania,Ukraine,0,3
10 Sep 2019,2-2,Ukraine,Nigeria,2,2
11 Oct 2019,2-0,Ukraine,Lithuania,2,0
14 Oct 2019,2-1,Ukraine,Portugal,2,1
14 Nov 2019,1-0,Ukraine,Estonia,1,0
17 Nov 2019,2-2,Serbia,Ukraine,2,2
03 Sep 2020,2-1,Ukraine,Switzerland,2,1
06 Sep 2020,4-0,Spain,Ukraine,4,0
07 Oct 2020,7-1,France,Ukraine,7,1
10 Oct 2020,1-2,Ukraine,Germany,1,2
13 Oct 2020,1-0,Ukraine,Spain,1,0
11 Nov 2020,2-0,Poland,Ukraine,2,0
14 Nov 2020,3-1,Germany,Ukraine,3,1
17 Nov 2020,3-0,Switzerland,Ukraine,3,0
24 Mar 2021,1-1,France,Ukraine,1,1
31 Mar 2021,1-1,Ukraine,Kazakhstan,1,1
23 May 2021,1-1,Ukraine,Bahrain,1,1
06 Sep 2018,0-2,Gibraltar,North Macedonia,0,2
09 Sep 2018,2-0,North Macedonia,Armenia,2,0
13 Oct 2018,4-1,North Macedonia,Liechtenstein,4,1
16 Oct 2018,4-0,Armenia,North Macedonia,4,0
16 Nov 2018,0-2,Liechtenstein,North Macedonia,0,2
19 Nov 2018,4-0,North Macedonia,Gibraltar,4,0
21 Mar 2019,3-1,North Macedonia,Latvia,3,1
24 Mar 2019,1-1,Slovenia,North Macedonia,1,1
07 Jun 2019,0-1,North Macedonia,Poland,0,1
10 Jun 2019,1-4,North Macedonia,Austria,1,4
05 Sep 2019,1-1,Israel,North Macedonia,1,1
09 Sep 2019,0-2,Latvia,North Macedonia,0,2
10 Oct 2019,2-1,North Macedonia,Slovenia,2,1
13 Oct 2019,2-0,Poland,North Macedonia,2,0
16 Nov 2019,2-1,Austria,North Macedonia,2,1
19 Nov 2019,1-0,North Macedonia,Israel,1,0
05 Sep 2020,2-1,North Macedonia,Armenia,2,1
08 Sep 2020,1-1,Georgia,North Macedonia,1,1
08 Oct 2020,2-1,North Macedonia,Kosovo,2,1
11 Oct 2020,3-3,Estonia,North Macedonia,3,3
14 Oct 2020,1-1,North Macedonia,Georgia,1,1
12 Nov 2020,0-1,Georgia,North Macedonia,0,1
15 Nov 2020,2-1,North Macedonia,Estonia,2,1
18 Nov 2020,1-0,Armenia,North Macedonia,1,0
25 Mar 2021,3-2,Romania,North Macedonia,3,2
28 Mar 2021,5-0,North Macedonia,Liechtenstein,5,0
31 Mar 2021,1-2,Germany,North Macedonia,1,2
08 Sep 2018,1-2,England,Spain,1,2
11 Sep 2018,1-0,England,Switzerland,1,0
12 Oct 2018,0-0,Croatia,England,0,0
15 Oct 2018,2-3,Spain,England,2,3
15 Nov 2018,3-0,England,USA,3,0
18 Nov 2018,2-1,England,Croatia,2,1
22 Mar 2019,5-0,England,Czech Republic,5,0
25 Mar 2019,1-5,Montenegro,England,1,5
06 Jun 2019,1-3,England,Netherlands,1,3
09 Jun 2019,0-0 (5-6),Switzerland,England,5,6
07 Sep 2019,4-0,England,Bulgaria,4,0
10 Sep 2019,5-3,England,Kosovo,5,3
11 Oct 2019,2-1,Czech Republic,England,2,1
14 Oct 2019,0-6,Bulgaria,England,0,6
14 Nov 2019,7-0,England,Montenegro,7,0
17 Nov 2019,0-4,Kosovo,England,0,4
05 Sep 2020,0-1,Iceland,England,0,1
08 Oct 2020,3-0,England,Wales,3,0
11 Oct 2020,2-1,England,Belgium,2,1
14 Oct 2020,0-1,England,Denmark,0,1
12 Nov 2020,3-0,England,Republic of Ireland,3,0
15 Nov 2020,2-0,Belgium,England,2,0
18 Nov 2020,4-0,England,Iceland,4,0
